city,state,dam_name,river,year_completed,hazard,eap,latitude,longitude
SARATOGA,WY,ARASTER,ARASTER CREEK,1930,L,NR,41.36183333,-105.8302778
ENCAMPMENT,WY,HOG PARK SADDLE DAM NO. 1,HOG PARK CREEK,1986,H,Y,41.024722,-110.3722
TORRINGTON,WY,STURGEON NO. 1,DAVIDSON CREEK,1949,L,NR,42.08833333,-105.4414
NA,WY,SOUTH FORK DAM,TRIB SOUTH FORK OKIE DRAW,1964,L,NR,43.2675,-104.4566667
HWY. 189,WY,UNIT 3 ASH AND CLEAR WATER,HAMS FORK-OFFCHANNEL,1994,L,Y,41.75667,-106.3192
HULETT,WY,RICHARD,DEWITT CREEK,1961,L,NR,44.281651,-108.9122
"EDGEMONT, SD",WY,STATE,SHOSTAK DRAW,1953,L,NR,43.78444444,-106.7178583
FARSON,WY,BIG SANDY,BIG SANDY CREEK,1951,H,Y,42.2486,-109.4287
"WYOLA, MT",WY,KIEWIT ACME DITCH NO. 1,WEST PASS OR CAVE CREEK,1969,L,NR,44.99861111,-104.76333
I-90,WY,HOUSTON,HOUSTON CREEK,1966,L,NR,44.40055556,-109.04389
LADA GARDENS TALOFOFO,GU,FENA DAM,FENA RIVER,1950,H,Y,13.361602,144.706301
